MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English ,Unemployment_Rate,Median_Income ,Economically_active(%),Income_Deprivation,No_cars_household (%),no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000001,City of London 001,8.41,22.58,27.73,27.25,14.03,26.2,7,21.1,3.5,56.4,78.6,12.7,2.6,12.8,3.8,46788,78.8,9.9,69.4,88.5,55.8,13.7,76.8,83.6,88.4
E02000002,Barking and Dagenham 001,25.85,18.85,20.49,18.57,16.25,31.7,18.1,13.5,22,30,65,12.1,16.7,9.4,11.8,27059,65.3,27.5,37.6,79.6,43.3,29.8,100.7,78,80.1
E02000003,Barking and Dagenham 002,22.37,19.5,22.9,22.49,12.74,47.7,20.2,19,15.4,27.1,54.6,22.7,16.1,10.5,9.1,36835,70.5,21.2,31.2,84.1,45.5,28.3,91.4,80.2,85.6
E02000004,Barking and Dagenham 003,19.35,20.66,18.67,24.96,16.37,25.3,21.9,22.6,13.9,26.3,81,5.1,10.5,4.5,9.3,39668,71.8,21.3,24,81.7,46.2,26.9,96.1,77.9,80.7
E02000005,Barking and Dagenham 004,25.69,18.59,23.3,21.36,11.05,72.9,21.7,18.3,18.6,25.4,66.3,12.3,16.9,9.9,9.7,29156,68.3,25.3,33.9,83.2,47.8,29.7,110,76.8,79.9
E02000007,Barking and Dagenham 006,27.16,20.08,21.24,19.75,11.77,52.3,18.7,14.2,22.6,30.9,67.2,6,22.7,9.4,13.1,25569,67.4,28.9,43.5,82,45.5,29,117,75.7,79.5
E02000008,Barking and Dagenham 007,25.43,18.83,23.01,20.78,11.95,81.9,20.3,15.2,19.8,30.5,69.6,7.6,17.4,9.5,11.1,26750,66,34.8,38.7,80.8,45.5,29.1,117.7,74.5,80.9
E02000009,Barking and Dagenham 008,24.56,20.88,24.37,20.76,9.42,92.3,19.6,16,20.8,27.9,61.2,14.5,18.8,13.1,11.1,27347,67.9,32.4,37.1,82.7,46.6,27.6,100.1,78.1,83.8
E02000010,Barking and Dagenham 009,27.1,19,23.3,20.29,10.31,79,21.1,15.6,21.3,27.4,69.2,7.4,19,10,10.2,27077,66.7,33.2,38.9,83,47,29.5,119.1,75.5,82
E02000011,Barking and Dagenham 010,22.42,19.19,20.62,24.2,13.58,39.6,20.4,20.8,15.6,25.1,66.4,11,18.5,10,8.6,33153,70.4,18.4,29.2,84.1,46.8,29,103,76.3,77.1
E02000012,Barking and Dagenham 011,23.3,22.31,21.15,21.4,11.84,77.3,24.2,18.7,11.2,24.3,43.9,39.9,9.8,13.8,7.3,42624,67.2,21.4,26.8,85.8,49,24.9,85.9,78.5,84.2
E02000013,Barking and Dagenham 012,27.96,18,23.36,20.23,10.45,64.9,21.7,16.1,19.9,27.5,68.9,7.8,17.8,10.8,9.9,27213,66.7,30.1,37,82.9,45.5,30.3,107.5,74.5,80.6
