MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000001,City of London 001,88.5,55.8,13.7,76.8,83.6,88.4
E02000002,Barking and Dagenham 001,79.6,43.3,29.8,100.7,78,80.1
E02000003,Barking and Dagenham 002,84.1,45.5,28.3,91.4,80.2,85.6
E02000004,Barking and Dagenham 003,81.7,46.2,26.9,96.1,77.9,80.7
E02000005,Barking and Dagenham 004,83.2,47.8,29.7,110,76.8,79.9
E02000007,Barking and Dagenham 006,82,45.5,29,117,75.7,79.5
E02000008,Barking and Dagenham 007,80.8,45.5,29.1,117.7,74.5,80.9
E02000009,Barking and Dagenham 008,82.7,46.6,27.6,100.1,78.1,83.8
E02000010,Barking and Dagenham 009,83,47,29.5,119.1,75.5,82
E02000011,Barking and Dagenham 010,84.1,46.8,29,103,76.3,77.1
E02000012,Barking and Dagenham 011,85.8,49,24.9,85.9,78.5,84.2
E02000013,Barking and Dagenham 012,82.9,45.5,30.3,107.5,74.5,80.6
E02000014,Barking and Dagenham 013,82,45.5,30.4,104.5,76,79.6
E02000015,Barking and Dagenham 014,82.8,46.4,30.9,113.5,76.4,81
E02000016,Barking and Dagenham 015,91.3,52.6,26.4,75.6,84.1,82.5
E02000017,Barking and Dagenham 016,85.7,48.7,24.5,76.4,80.4,86.2
E02000018,Barking and Dagenham 017,83.5,47.8,29,96.5,78.5,84.1
E02000019,Barking and Dagenham 018,84.1,48.9,30.5,99.2,78.3,80.8
E02000020,Barking and Dagenham 019,83.2,45.8,27,100.2,78.9,81.3
E02000021,Barking and Dagenham 020,83.3,47.9,30.5,111.3,73.3,78
E02000022,Barking and Dagenham 021,87.2,53,30.6,103.8,74,87.3
E02000023,Barking and Dagenham 022,85.4,50.6,30.2,82.3,75.4,83.5
E02006799,Barking and Dagenham 023,82,44.8,29.1,104.7,74.9,79
E02000024,Barnet 001,85.5,52.3,17.4,86.5,80.8,85.1
E02000025,Barnet 002,84.3,49.5,19.4,85.9,80.3,85
E02000026,Barnet 003,85.3,52.1,19.2,89.9,84.2,87.6
E02000027,Barnet 004,82.9,47,23.9,97.5,77.5,86.3
E02000028,Barnet 005,87.1,52.2,18.6,75.1,80.7,84.4
E02000029,Barnet 006,86.1,50.3,20.5,86.8,80.1,85.9
E02000030,Barnet 007,84.9,51.9,19.2,92.1,79.6,82.8
E02000031,Barnet 008,84.4,50.9,17,89.9,81.8,84.1
E02000032,Barnet 009,86,50.3,18.3,94.8,83.1,85.6
E02000033,Barnet 010,83.9,48,22.1,94.8,80.8,82.4
E02000034,Barnet 011,85.6,51.1,18.4,97.7,79.9,84.3
E02000035,Barnet 012,84.3,49.3,15,85.1,80.2,83.2
E02000036,Barnet 013,85.6,49.5,21.1,95.1,81.6,84.7
E02000037,Barnet 014,85.8,52.2,19.7,95.2,81.8,88.3
E02000038,Barnet 015,85.3,51.4,18.1,93.8,78.8,81.2
E02000039,Barnet 016,87.4,56.1,16.2,85.9,84.9,88.4
E02000040,Barnet 017,85.2,51.2,17.9,93.7,81.9,87.7
E02000041,Barnet 018,85.2,50.5,18.7,93.8,81.9,83.2
E02000042,Barnet 019,84.6,49.5,15.3,93.9,79.8,82
E02000043,Barnet 020,88.8,55.3,14.8,81.5,82.6,83.9
E02000044,Barnet 021,85,47.6,22.6,87.2,78.4,83.2
E02000045,Barnet 022,85.9,49.7,20.6,102.6,78.3,83.2
E02000046,Barnet 023,87.9,53.1,13.6,94.3,80.9,81.7
E02000047,Barnet 024,84.1,46.5,23.9,90.1,76.1,82.6
E02000048,Barnet 025,87.7,53.9,16,84.7,83.3,88.2
E02000049,Barnet 026,84.8,49.5,26,89,76.6,88.1
E02000050,Barnet 027,84.9,49.2,17.4,103.9,78.8,86.3
E02000051,Barnet 028,85.8,51.4,14.1,104.7,82.3,87.4
E02000052,Barnet 029,87.1,53.9,15.2,107.8,80,85.3
E02000053,Barnet 030,88.6,49.7,19.2,84.1,77.6,83.6
E02000054,Barnet 031,87.9,52.3,15.3,91.9,82.6,87.6
