MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English 
E02000001,City of London 001,8.41,22.58,27.73,27.25,14.03,26.2,7,21.1,3.5,56.4,78.6,12.7,2.6,12.8
E02000002,Barking and Dagenham 001,25.85,18.85,20.49,18.57,16.25,31.7,18.1,13.5,22,30,65,12.1,16.7,9.4
E02000003,Barking and Dagenham 002,22.37,19.5,22.9,22.49,12.74,47.7,20.2,19,15.4,27.1,54.6,22.7,16.1,10.5
E02000004,Barking and Dagenham 003,19.35,20.66,18.67,24.96,16.37,25.3,21.9,22.6,13.9,26.3,81,5.1,10.5,4.5
E02000005,Barking and Dagenham 004,25.69,18.59,23.3,21.36,11.05,72.9,21.7,18.3,18.6,25.4,66.3,12.3,16.9,9.9
E02000007,Barking and Dagenham 006,27.16,20.08,21.24,19.75,11.77,52.3,18.7,14.2,22.6,30.9,67.2,6,22.7,9.4
E02000008,Barking and Dagenham 007,25.43,18.83,23.01,20.78,11.95,81.9,20.3,15.2,19.8,30.5,69.6,7.6,17.4,9.5
E02000009,Barking and Dagenham 008,24.56,20.88,24.37,20.76,9.42,92.3,19.6,16,20.8,27.9,61.2,14.5,18.8,13.1
E02000010,Barking and Dagenham 009,27.1,19,23.3,20.29,10.31,79,21.1,15.6,21.3,27.4,69.2,7.4,19,10
E02000011,Barking and Dagenham 010,22.42,19.19,20.62,24.2,13.58,39.6,20.4,20.8,15.6,25.1,66.4,11,18.5,10
E02000012,Barking and Dagenham 011,23.3,22.31,21.15,21.4,11.84,77.3,24.2,18.7,11.2,24.3,43.9,39.9,9.8,13.8
E02000013,Barking and Dagenham 012,27.96,18,23.36,20.23,10.45,64.9,21.7,16.1,19.9,27.5,68.9,7.8,17.8,10.8
E02000014,Barking and Dagenham 013,26.08,19.21,21.97,21.7,11.04,79.6,21.2,16.9,19.9,26.3,70.5,6.7,17.5,10.5
E02000015,Barking and Dagenham 014,26.15,21.16,23.01,19.67,10.01,56.3,16.8,13.9,20.6,36,63.3,5.7,25.3,9.8
E02000016,Barking and Dagenham 015,26.77,29.35,29.06,11.74,3.07,92.8,20.9,15.4,16.3,27.4,29.6,34.9,27,31.6
E02000017,Barking and Dagenham 016,21.91,26.54,24.25,18.7,8.6,99.6,21.2,16,11.1,21.8,31.3,50.4,12.5,26.4
E02000018,Barking and Dagenham 017,28.02,20.15,23.63,19.04,9.16,66.5,21.6,14.7,21.6,26.6,64.1,9.7,19.9,13.7
