MSOA code,Total_Death
E02000001,11
E02000002,42
E02000003,25
E02000004,24
E02000005,22
E02000007,30
E02000008,36
E02000009,22
E02000010,22
E02000011,24
E02000012,34
E02000013,14
E02000014,27
E02000015,22
E02000016,5
E02000017,18
E02000018,25
E02000019,17
E02000020,27
E02000021,25
E02000022,9
E02000023,14
E02000024,30
E02000025,29
E02000026,15
E02000027,30
E02000028,18
E02000029,14
E02000030,21
E02000031,19
E02000032,20
E02000033,18
E02000034,28
E02000035,25
E02000036,26
E02000037,26
E02000038,56
E02000039,10
E02000040,18
E02000041,26
E02000042,40
E02000043,14
E02000044,17
E02000045,14
E02000046,10
E02000047,29
E02000048,17
E02000049,15
E02000050,17
E02000051,26
E02000052,14
E02000053,10
E02000054,15
E02000055,27
E02000056,25
E02000057,20
E02000058,17
E02000059,32
E02000060,21
E02000061,22
E02000062,17
E02000063,17
E02000064,2
E02000065,17
E02000066,22
E02000067,10
E02000068,11
E02000069,12
E02000070,12
E02000071,15
E02000072,14
E02000073,37
E02000074,34
E02000075,22
E02000077,17
E02000078,27
E02000079,44
E02000080,20
E02000081,28
E02000082,21
E02000083,20
E02000084,20
E02000085,8
E02000086,15
E02000087,16
E02000088,8
E02000089,21
E02000090,38
E02000091,40
E02000092,18
E02000093,36
E02000094,21
E02000095,24
E02000096,21
E02000097,22
E02000098,28
E02000099,10
E02000100,19
E02000101,40
E02000102,17
E02000103,20
E02000104,32
E02000105,20
E02000106,28
E02000107,13
E02000108,14
E02000109,32
E02000110,12
E02000111,25
E02000112,28
E02000113,27
E02000114,12
E02000115,17
E02000116,24
E02000117,52
E02000118,29
E02000119,36
E02000120,13
E02000121,34
E02000122,18
E02000123,26
E02000124,11
E02000125,16
E02000126,15
E02000127,20
E02000128,21
E02000130,8
E02000131,15
E02000132,18
E02000133,24
E02000134,25
E02000135,32
E02000136,24
E02000137,19
E02000138,18
E02000139,12
E02000140,17
E02000141,12
E02000142,22
E02000144,11
E02000145,8
E02000146,38
E02000147,12
E02000148,15
E02000149,18
E02000150,9
E02000151,8
E02000152,11
E02000153,7
E02000154,11
E02000155,14
E02000156,35
E02000157,16
E02000158,13
E02000159,15
E02000160,20
E02000161,14
E02000162,26
E02000163,20
E02000165,8
E02000166,13
E02000167,5
E02000168,18
E02000169,12
E02000170,7
E02000171,7
E02000172,24
E02000173,1
E02000174,12
E02000175,9
E02000176,7
E02000177,23
E02000178,17
E02000179,13
E02000180,10
E02000181,2
E02000182,14
